Number|"Post ID"|"Product ID"|Affiliate|"Product Title"|Brand|"Image URL"|Price|RRP|Link|Status
"1 of 11793 (0.01%)"|239944|2692_3237689875|awin|"Phase Eight Darcey Double Layer Lace Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/75/98/3237689875.jpg|62.00|89.00|http://www.awin1.com/pclick.php?p=3237689875&#038;a=99908&#038;m=2692|"Updated by ID"
"2 of 11793 (0.02%)"|239943|2692_3189266237|awin|"Phase Eight Keri Silk Kimono Sleeve Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/37/62/3189266237.jpg|62.00|89.00|http://www.awin1.com/pclick.php?p=3189266237&#038;a=99908&#038;m=2692|"Updated by ID"
"3 of 11793 (0.03%)"|239942|2692_3221785293|awin|"Phase Eight Ashton Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/93/52/3221785293.jpg|55.00|79.00|http://www.awin1.com/pclick.php?p=3221785293&#038;a=99908&#038;m=2692|"Updated by ID"
"4 of 11793 (0.03%)"|239941|2692_3248106523|awin|"Phase Eight Tamiko Lace Dress"||||||Trashed
"5 of 11793 (0.04%)"|239940|2692_3221785287|awin|"Phase Eight Chantay Rose Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/87/52/3221785287.jpg|79.00|120.00|http://www.awin1.com/pclick.php?p=3221785287&#038;a=99908&#038;m=2692|"Updated by ID"
"6 of 11793 (0.05%)"|239939|2692_3222229765|awin|"Phase Eight Corrine Print Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/65/97/3222229765.jpg|55.00|79.00|http://www.awin1.com/pclick.php?p=3222229765&#038;a=99908&#038;m=2692|"Updated by ID"
"7 of 11793 (0.06%)"|239938|2692_3230275767|awin|"Phase Eight Bobby Spot Silk Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/67/57/3230275767.jpg|62.00|89.00|http://www.awin1.com/pclick.php?p=3230275767&#038;a=99908&#038;m=2692|"Updated by ID"
"8 of 11793 (0.07%)"|239936|2692_3226381343|awin|"Phase Eight Lavinia Jacquard Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/43/13/3226381343.jpg|84.00|120.00|http://www.awin1.com/pclick.php?p=3226381343&#038;a=99908&#038;m=2692|"Updated by ID"
"9 of 11793 (0.08%)"|239937|2692_3195755909|awin|"Phase Eight Delphine Textured Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/09/59/3195755909.jpg|59.00|79.00|http://www.awin1.com/pclick.php?p=3195755909&#038;a=99908&#038;m=2692|"Updated by ID"
"10 of 11793 (0.08%)"|239935|2692_3287127613|awin|"Phase Eight Tuti Printed Dress"|"Phase Eight"|http://images.productserve.com/preview/2/2692/13/76/3287127613.jpg|69.00|99.00|http://www.awin1.com/pclick.php?p=3287127613&#038;a=99908&#038;m=2692|"Updated by ID"
