Number|"Post ID"|"Product ID"|Affiliate|"Product Title"|Brand|"Image URL"|Price|RRP|Link|Status
"1 of 10617 (0.01%)"|196906|3780_81798|webgains|"Diana Silver Saffiano Slim Clutch Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1438090919-22109100.png|220.00|220.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Diana+Silver+Saffiano+Slim+Clutch+Bag&#038;wgtarget=http://www.danielfootwear.com/bags-c6/clutch-c69/diana-silver-saffiano-slim-clutch-bag-p81798|"Updated by ID"
"2 of 10617 (0.02%)"|196907|3780_82450|webgains|"Smiley Silver Leather Small Crossbody Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1444910035-90099200.jpg|550.00|550.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Smiley+Silver+Leather+Small+Crossbody+Bag&#038;wgtarget=http://www.danielfootwear.com/bags-c6/new-arrivals-c299/smiley-silver-leather-small-crossbody-bag-p82450|"Updated by ID"
"3 of 10617 (0.03%)"|196903|3780_65485|webgains|"Envelope Silver Reptile Leather Clutch Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1406625809-12969400.jpg|129.00|129.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Envelope+Silver+Reptile+Leather+Clutch+Bag&#038;wgtarget=http://www.danielfootwear.com/bags-c6/envelope-silver-reptile-leather-clutch-bag-p65485|"Updated by ID"
"4 of 10617 (0.04%)"|196904|3780_80442|webgains|"Lana Silver Leather Envelope Clutch"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1433753202-02343000.jpg|220.00|220.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=+Lana+Silver+Leather+Envelope+Clutch&#038;wgtarget=http://www.danielfootwear.com/women-c2/lana-silver-leather-envelope-clutch-p80442|"Updated by ID"
"5 of 10617 (0.05%)"|196905|3780_81797|webgains|"Britten Silver Leather Rounded Slim Clutch"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1438258975-50304300.jpg|305.00|305.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Britten+Silver+Leather+Rounded+Slim+Clutch&#038;wgtarget=http://www.danielfootwear.com/bags-c6/clutch-c69/britten-silver-leather-rounded-slim-clutch-p81797|"Updated by ID"
"6 of 10617 (0.06%)"|196900|3780_80976|webgains|"Gold Small Shoulder Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1430482056-52298700.jpg|94.99|94.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Gold+Small+Shoulder+Bag&#038;wgtarget=http://www.danielfootwear.com/sale-c295/-c296/gold-small-shoulder-bag-p80976|"Updated by ID"
"7 of 10617 (0.07%)"|196901|3780_81326|webgains|"Daria Gold Leather Fold Over Clutch Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1435323089-92245800.jpg|195.00|195.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Daria+Gold+Leather+Fold+Over+Clutch+Bag&#038;wgtarget=http://www.danielfootwear.com/women-c2/daria-gold-leather-fold-over-clutch-bag-p81326|"Updated by ID"
"8 of 10617 (0.08%)"|196902|3780_58036|webgains|"Georgiana Silver Metallic Leather Clutch Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1437921305-89843700.jpg|450.00|450.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Georgiana+Silver+Metallic+Leather+Clutch+Bag&#038;wgtarget=http://www.danielfootwear.com/bags-c6/clutch-c69/georgiana-silver-metallic-leather-clutch-bag-p58036|"Updated by ID"
"9 of 10617 (0.08%)"|196897|3780_79730|webgains|"Lana Envelope Gold Leather Clutch"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1426682543-64888900.jpg|220.00|220.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Lana+Envelope+Gold+Leather+Clutch&#038;wgtarget=http://www.danielfootwear.com/women-c2/lana-envelope-gold-leather-clutch-p79730|"Updated by ID"
"10 of 10617 (0.09%)"|196898|3780_80179|webgains|"Margue Gold Metallic Clutch Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1427128814-05255100.jpg|74.99|74.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Margue+Gold+Metallic+Clutch+Bag&#038;wgtarget=http://www.danielfootwear.com/bags-c6/margue-gold-metallic-clutch-bag-p80179|"Updated by ID"
"11 of 10617 (0.10%)"|196899|3780_80963|webgains|"Black Leather Gold Eyelet Shoulder Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1430909985-11001100.jpg|145.00|145.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Black+Leather+Gold+Eyelet+Shoulder+Bag&#038;wgtarget=http://www.danielfootwear.com/bags-c6/messenger-c70/black-leather-gold-eyelet-shoulder-bag-p80963|"Updated by ID"
"12 of 10617 (0.11%)"|196895|3780_58035|webgains|"Georgiana Clutch Gold Leather Women's Bag"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1437921197-46318700.jpg|450.00|450.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Georgiana+Clutch+Gold+Leather+Women%27s+Bag&#038;wgtarget=http://www.danielfootwear.com/bags-c6/clutch-c69/georgiana-clutch-gold-leather-womens-bag-p58035|"Updated by ID"
"13 of 10617 (0.12%)"|196896|3780_78624|webgains|"Gold Metallic Lana Clutch"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1427113488-21525000.jpg|119.00|119.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Gold+Metallic+Lana+Clutch+&#038;wgtarget=http://www.danielfootwear.com/bags-c6/gold-metallic-lana-clutch-p78624|"Updated by ID"
"14 of 10617 (0.13%)"|196871|3780_80426|webgains|"Anchor Slide Silver Leather Flat Sandal"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1429110813-31534300.jpg|100.00|100.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Anchor+Slide+Silver+Leather+Flat+Sandal&#038;wgtarget=http://www.danielfootwear.com/women-c2/anchor-slide-silver-leather-flat-sandal-p80426|"Updated by ID"
"15 of 10617 (0.14%)"|196872|3780_83245|webgains|"Desert Orchid Silver Reptile Sling Back Heel"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1441878497-44332000.jpg|87.50|87.50|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Desert+Orchid+Silver+Reptile+Sling+Back+Heel&#038;wgtarget=http://www.danielfootwear.com/sale-c289/desert-orchid-silver-reptile-sling-back-heel-p83245|"Updated by ID"
"16 of 10617 (0.15%)"|196868|3780_76855|webgains|"Aclara Gold Leather Reptile Ankle Boot"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1414420885-66184000.jpg|99.99|99.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=+Aclara+Gold+Leather+Reptile+Ankle+Boot&#038;wgtarget=http://www.danielfootwear.com/women-c2/aclara-gold-leather-reptile-ankle-boot-p76855|"Updated by ID"
"17 of 10617 (0.16%)"|196869|3780_83321|webgains|"Alert Gold Leather Mary Jane Platform Shoe"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1444836668-73597700.jpg|179.00|179.00|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Alert+Gold+Leather+Mary+Jane+Platform+Shoe&#038;wgtarget=http://www.danielfootwear.com/women-c2/alert-gold-leather-mary-jane-platform-shoe-p83321|"Updated by ID"
"18 of 10617 (0.17%)"|196870|3780_60135|webgains|"Viajante Pink Suede Silver Toe Cap Pump"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1441879696-59933700.jpg|74.50|74.50|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Viajante+Pink+Suede+Silver+Toe+Cap+Pump&#038;wgtarget=http://www.danielfootwear.com/sale-c289/viajante-pink-suede-silver-toe-cap-pump-p60135|"Updated by ID"
"19 of 10617 (0.18%)"|196852|3780_78210|webgains|"Aimon Toe Silver Leather Sandal"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1423658761-37788400.jpg|64.99|64.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Aimon+Toe+Silver+Leather+Sandal&#038;wgtarget=http://www.danielfootwear.com/women-c2/designer-flats-c284/aimon-toe-silver-leather-sandal-p78210|"Updated by ID"
"20 of 10617 (0.19%)"|196853|3780_80090|webgains|"Morvern Silver Diamante Strap Sandal"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1428485606-05178800.jpg|24.99|24.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Morvern+Silver+Diamante+Strap+Sandal+&#038;wgtarget=http://www.danielfootwear.com/womens-sale-c290/morvern-silver-diamante-strap-sandal-p80090|"Updated by ID"
"21 of 10617 (0.20%)"|196849|3780_81173|webgains|"Gold Leather Third Avenue Diamante Slider"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1435763761-49501100.jpg|44.99|44.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Gold+Leather+Third+Avenue+Diamante+Slider&#038;wgtarget=http://www.danielfootwear.com/women-c2/gold-leather-third-avenue-diamante-slider-p81173|"Updated by ID"
"22 of 10617 (0.21%)"|196850|3780_17035|webgains|"Moyles Silver Womens Flat Sandal"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1431612827-53235100.jpg|19.99|19.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Moyles+Silver+Womens+Flat+Sandal&#038;wgtarget=http://www.danielfootwear.com/womens-sale-c290/moyles-silver-womens-flat-sandal-p17035|"Updated by ID"
"23 of 10617 (0.22%)"|196851|3780_57786|webgains|"Hatters Silver Women's Gem Studded Sandal"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1394705766-36806100.jpg|29.99|29.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Hatters+Silver+Women%27s+Gem+Studded+Sandal&#038;wgtarget=http://www.danielfootwear.com/sale-c289/hatters-silver-womens-gem-studded-sandal-p57786|"Updated by ID"
"24 of 10617 (0.23%)"|196846|3780_17040|webgains|"Moyles Gold Womens Flat Sandal"|"Daniel Footwear"|http://www.danielfootwear.com/images/products/medium/1431612667-73563800.jpg|14.99|14.99|http://track.webgains.com/click.html?wgcampaignid=71942&#038;wgprogramid=3780&#038;product=1&#038;wglinkid=113216&#038;productname=Moyles+Gold+Womens+Flat+Sandal&#038;wgtarget=http://www.danielfootwear.com/womens-sale-c290/moyles-gold-womens-flat-sandal-p17040|"Updated by ID"
